,text,label
993,ingenuously,0
302,coherent,0
1399,drop-out,1
2988,mysterious,1
3922,snare,1
1943,harasses,1
1343,prettily,0
914,holy,0
2105,idiotically,1
974,deprive,1
466,trop retard sad ,1
1863,gnawing,1
1424,reaffirm,0
1712,guys this is really serious and i hope you don%27t judge me unhappy ,1
2496,interruption,1
3526,reprehension,1
1331,precisely,0
2826,mawkish,1
1656,Shut up,0
235,brighter,0
4461,unimaginably,1
54, much appreciated happy,0
4208,taxing,1
4154,sully,1
1749,fraudulent,1
1233,disoriented,1
3951,sorry,1
2444,insensitive,1
1465,regard,0
1797,full-blown,1
2931,misunderstandings,1
1862,glut,1
1754,freaking,1
2957,mordant,1
627,Thanks for the recent follow Happy to connect happy  have a great Thursday..30,0
1136,Unnamed: 527,0
1357,Stats for the day have arrived. to  new followers and NO unfollowers happy  via,0
799,No worries happy,0
1064,It will be at random on twitch happy,0
2843,menacingly,1
224,Then and now happy,0
1289,phenomenal,0
1259,disregardful,1
157,anxieties,1
667, woot! smile,0
1378,properly,0
1513,exasperation,1
1315,how can people do stuff like this unhappy  ,1
346,bland,1
999, have a great Thursday! Looking forward to reading your tweets happy  (Want this? It's FREE!,0
1443,.a scan for your tumblr happy,0
575,enthusiastically,0
1542,expropriation,1
1352,problem-free,0
135,annoyed,1
1104,disagreement,1
478,bumpping,1
675,Wht sort of thing (can't use word person for it)can cause such suffering to ths sad ,1
2476,insufficiently,1
1324,disturb,1
405,defeat,0
2962,morons,1
1477,relish,0
1139,My area's not on the list unhappy  think I'll go LibDems anyway,1
26,Hellooo happy  Jackatkinson (jackat13),0
1171,mesmerizes,0
451,brutalize,1
3131,outburst,1
4155,sunder,1
488,Hi! We tried to call your number but got no response unhappy  Please share another suitable time and an alternate number for us to.. cont1,1
1829,transparent,0
2865,misbecome,1
588,Alaye give me iphone7 or dollars for my birthdayDo normal abeg,0
651,my puppies deserves all better unhappy  .2,1
688,here are some very happy boys to brighten up your day happy,0
1470,An inspiration in all aspects: Fashion,0
1432, I won't be on till later! unhappy ,1
1272,peacefully,0
2532,irked,1
2929,misunderstand,1
490,burning,1
445,yess crying with joy,0
184,benefactor,0
571,Dispo 3LANs happy,0
883,Just a new happy,0
818,damned,1
2211,In class and I'm really bored so why not happy  Rt for one!! Mutuals  non mutuals Pls don't let me flop ;-;,0
1643,fell,1
556,cheapen,1
1941,harass,1
1010,destabilisation,1
1506,restructure,0
4710,whiny,1
2167,impediment,1
1429,reasonably,0
1462,enfeeble,1
1049,It's too nice outside to be stuck in school all day unhappy ,1
3757,set-up,1
1121,tell me unhappy  why,1
940,ideally,0
721,fervid,0
749,thanks for the recent follow. Much appreciated happy  Want this.2,0
495,butcher,1
2345,inefficacious,1
1460,enemy,1
1706,stupendously,0
4044,stingingly,1
948,illumine,0
1328, I guess it's a good thing then to bring it right to the foreground and put it right in their face,0
899,On our way home happy  happy si Noah sa skyranch,0
71,afflict,1
1159,slight buzy kasi besh unhappy  ,1
4627,vibrating,1
1895,upliftment,0
902,helped,0
1386,protect,0
1806, delivering the Conservative message of strong  stable leadership. happy,0
348,contrasty,0
1264,disrespectablity,1
567,entertains,0
2820,martyrdom,1
1262,passionate,0
1967,harrow,1
1848,gimmicking,1
228,Yuri was here and i didn't know it unhappy  the second snsd i missed ,1
1722,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?.3,0
4308,trauma,1
1972,wisdom,0
4619,vestiges,1
1721,succeeded,0
823,I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too sad  I just pick,1
2328,indiscreet,1
608, popping into a store,0
327,compliment,0
1736,ugh i miss my baby crying ,1
1239,dispirit,1
3696,sceptical,1
4091,stumbled,1
778,crueler,1
1098, DM us happy  S,0
322,complement,0
2154,immoral,1
1057,diametrically,1
766,fresh,0
1439,recommended,0
2814,manipulation,1
237,backaching,1
949,for my 2000th tweet i'd like to say i love donghyuck :D,0
1673,flagging,1
934,demolisher,1
1820,gaffe,1
4352,ugliest,1
1707,Thanks for the recent follow Happy to connect happy  have a great Thursday. Get it.2,0
72,agile,0
743,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest unhappy  .2,1
488,effective,0
919,honorable,0
3923,snarky,1
4664,vomiting,1
802,gifted,0
2184,impinge,1
1792,thinner,0
4186,taint,1
1287,Koalas are dying of thirst  and it's all because of us unhappy  .1,1
1972, 30 likes?} hehe,0
1486,renowned,0
2073,hothouse,1
296,I miss the 7/27 costumes unhappy ,1
82,aggressor,1
1695,That would be a great trick happy.7,0
2687,lecher,1
1464,a couple more unhappy  ,1
414,We bought a 523 litre fridge. I am applying for cold storage license in Bhayander West :D,0
3780,sharply,1
4065,strenuous,1
1856,Definitely my arms unhappy  .7,1
114,Swear I just walked past haha,1
1906,Hey thanks for being top new followers this week! Much appreciated happy  Want this ?,0
1266,disrespectfully,1
1238,Sooooo feels like a Friday today unhappy ,1
1173,mesmerizingly,0
1078,levity,0
1207,non-violent,0
2326,indignity,1
821,Koalas are dying of thirst  and it's all because of us unhappy  ,1
1098,loveliness,0
2718,limit,1
2051,What to do when you are feeling bad - buy a new book and get engrossed into a new world happy,0
888,harmoniously,0
4429,unequal,1
24,But i want unhappy  that looks so yummy hehehe.,1
1099,disagree,1
1185,modest,0
924,hospitable,0
60,affection,0
89,ambitious,0
1364,profusion,0
1026,no pressure happy,0
724, comforting London fog.,0
1847,Don't mention it! :D,0
1445,embarrassing,1
1391,dreary,1
1835,happy  Me too I hope,0
1818,gabble,1
713,counterproductive,1
589,clueless,1
2003,Thanks for being top engaged community members this week happy  - I sent this with,0
379,blunt,1
642,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.1,1
3422,quarrels,1
2162,Join us this Saturday to celebrate our Earth by planting seedings! Head to our FB page for more information. happy,0
1398,droops,1
2100,.Thanks so much for the RT.1,0
2550,irreconcilable,1
913, much appreciated happy  (Want this for It's Magical!,0
1072,dilapidated,1
252, but I'm a bit rusty now! unhappy  ,1
1195,neatest,0
1572,fake,1
2090,tats! I have question happy,0
2087,Have you ever been to AUSTRALIA! :D Love your vids. Lovo on youtube :D,0
1728,successfully,0
3066,obscenely,1
350,Thanks for the recent follow Happy to connect happy  have a great Thursday..19,0
1063,13 Reasons Why producers: we care about youth mental health :)13RW producers: *show young audience graphic rape and suicide s,0
1325,Someone asked me Hows life? I just smiled and replied,0
315, some and now none of you crying with joy,0
1800,fume,1
901,defy,1
1197,disillusions,1
552,chastisement,1
4625,vibrated,1
3515,remorseful,1
1151,masterpieces,0
2744,loophole,1
1623,Still not possible! unhappy ,1
638,exemplar,0
4645,vindictively,1
2882,miserable,1
1621,oh,1
3263,pertinacious,1
2895,mishandle,1
1688,I face swapped a cat with a dog and it's really upsetting unhappy  ,1
883,hard-working,0
1126,disastrously,1
594,eulogize,0
1594,fanaticism,1
1086,Hey guys could you help me by retweeting this? I've heard was legitimate and I really need a VPN account rig,1
738,flattering,0
1762, and the dame computer decides to crash unhappy  now I... ,1
1772,swift,0
856,debt,1
67,adversarial,1
719,Happy Thursday loves!! happy,0
2866,misbecoming,1
599,Wanna get a haircut but i don%27t know a good place unhappy ,1
2059,horrid,1
2016,hefty,1
1678,staunchly,0
2610,jobless,1
4376,unbelievably,1
517,capriciously,1
599,collapse,1
4198,tarnished,1
3778,shamelessness,1
747,We'd love to,1
1882,grief,1
2228,how about me bes jup unhappy ,1
2371,inexorably,1
1742,fragile,1
1526,rewardingly,0
944,denial,1
927,hotcakes,0
2159, if i get 900 retweets and 900 likes. help me :(un.2,1
1523,Hope he's ok,1
1591,fanatic,1
2019,This is by far my worst day of 2017 since January 8th unhappy  crying  crying .,1
4509,unproving,1
763,I love it when pretty girls call me pretty like bitch tf you too happy  let's be friends,0
948,denounce,1
1232,outperforms,0
203,bless,0
649,exquisitely,0
1106,low-risk,0
2875,mischievously,1
883,defamatory,1
4638,villainously,1
1572,savvy,0
234,brighten,0
1479,remarkably,0
3175,oversight,1
361,cooperatively,0
555,mutual: let's talk more!me: for sure!mutual:  happy  me:.4,0
1105,low-priced,0
2165,impedance,1
634,condemnable,1
1174,Someone should bring me breakfast to work unhappy ,1
2101,We All Know unhappy  ,1
4692,weak,1
3148,over-priced,1
2461,insolently,1
3232,pathetic,1
2247,inappropriate,1
938,ideal,0
985,desiccate,1
2111,i love mason and miss mason unhappy ,1
1850,Playing with the photo editor happy,0
3048,notoriety,1
660,Hi please rt my pinned post happy,0
4467,unipolar,1
1631,Makes me so sad unhappy  they looked so unhappy when I went to SeaWorld ,1
3410,puppet,1
1593,fanatically,1
4683,washed-out,1
410,bowdlerize,1
744,oh shiiiiid noooooor unhappy  ,1
3908,smudges,1
4209,tease,1
110,it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,1
2889,misfortune,1
1629,smoother,0
1544,come to Miami sad  ,1
490,effectiveness,0
1027,invincible,0
3279,pest,1
1147,discontentedly,1
20,achievement,0
371,Thanks for the recent follow Happy to connect happy  have a great Thursday.  Get FREE?.1,0
2840,meltdown,1
1578,fallacy,1
1216,dismally,1
2781,maddening,1
479,ebulliently,0
1272,diss,1
886,harmless,0
2218,improperly,1
36,accusing,1
483,ecstasy,0
1131,disbeliever,1
333,That would be a great trick happy.2,0
1609,fat-cat,1
1522,revolutionized,0
12, buy or do anything that supports Canada until,1
1372,draconian,1
3372,prideful,1
2506,intractable,1
44,achey,1
1393,dripping,1
1490,error,1
365,this is jimin to yoongi unhappy  .5,1
1278,dissatisfied,1
3712,scrambled,1
2069,pake unhappy ,1
1830,TICKETS AVAILABLE NOW for The 401 Festival of Running 2017,0
1040,Dear attendees,1
1930,warmly,0
656,exuberantly,0
960,impeccable,0
4148,sugar-coated,1
1687,stellarly,0
370,courageous,0
4036,stiffness,1
20,only way to make sense of those crazy edge cases is the idea of sharing revenue was offensive,0
625,conceited,1
2034,Every time Meredith has flashbacks of Derek Shepherd I can't hold back the tears unhappy ,1
1705,Thanks for sharing my iris photo. I really appreciate it smile,0
269,bashing,1
576,ikr. I would have trauma if i ware him unhappy ,1
1928,warmer,0
484,Please,0
2908,mispronounced,1
6,abomination,1
2338,indulge,1
2623,kaput,1
1415,dumbfound,1
1631,smoothest,0
368,bloated,1
165, DM us happy  S.2,0
532,That would be a great trick happy.9,0
3614,rough,1
1254,disquiet,1
1153,discordant,1
2562,irreparable,1
114,ambivalence,1
145,attractive,0
1465,enjoin,1
1258,paradise,0
33,Roc Boyz sad  .2,1
1425,You mean your voice changed? unhappy ,1
1289,unhappy  friendzone. damn sad,1
1140,disconcerting,1
2801,malign,1
177,why is it so hard for you to notice me? Haay unhappy ,1
1391,how come i didn't get a reminder email this month unhappy ,1
1523,exhaust,1
245,cajole,0
275,You deserve better . Hope you'll be okay unhappy  ,1
3905,smouldering,1
874,decline,1
825,god-send,0
994,desperate,1
958,impartially,0
3128,orphan,1
1786,tender,0
2128,Yes,0
2193,impolitely,1
4262,timidness,1
2237,inactive,1
2735,lone,1
108,allergies,1
3838,skepticism,1
271,Guys please help me retweet unhappy  .1,1
2138,illogically,1
1765,When you're late to work because you had to break the news to the lovely lady who cleans the house... crying together unhappy ,1
21,achievements,0
1120,disapproving,1
179,If you can send me a DM with your postcode I can check a few of your local stores. Look forward to your reply happy  - Nathan 2/2,0
4424,uneasily,1
88, maybe coffee is not for you unhappy ,1
325,complements,0
206,attack,1
4316,treacherously,1
4099,stupid,1
378,credence,0
59,admonisher,1
3380,procrastinate,1
2262,incitement,1
1421,readable,0
1495,resourcefulness,0
317,beware,1
227,breakthrough,0
4004,stagnation,1
689,Thanks brother ,0
1308,EVERY time I think that my skin is getting better,0
388,boggle,1
1813,titillating,0
4646,vindictiveness,1
876,declining,1
1884,grievances,1
1517,excoriate,1
789,galore,0
2753,losing,1
3299,pique,1
2299, but happy birthday hoe! have a good day,0
402,Hey Tony,1
552,enjoyment,0
1920,guilty,1
2032,Tara,0
742,crazy,1
3105,offensiveness,1
2194,impolitic,1
2793,maledict,1
1775,frightening,1
3985,sporadic,1
241,brisk,0
276,+I have no choice but to cancel it. unhappy ,1
3486,refutation,1
1956,Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this.7,0
852,loool i'm mad avoid me today :D,0
2420,inhumane,1
396,Our crazy EASTER! Our donkey is insane! Seriously crazy haha!,0
1717,hungry unhappy  but no time to buy food,1
3548,resent,1
1151,discord,1
257,Well that's not good unhappy ,1
1248,I WAITED FOR YOU unhappy  ,1
926,deluge,1
2305,incredulous,1
696,fastest,0
685,contend,1
1392,Beautiful album from  the greatest unsung guitar genius of our time - and I've met the great backstage,0
1925,hacks,1
1173,disgraced,1
3277,pessimistic,1
2043,ho-hum,1
278, Damn... this just Sucks! unhappy ,1
4349,tyrant,1
1304,pleasure,0
885,defect,1
1352,doubtful,1
2143,imbalance,1
2321,indifferent,1
1394,congrats! :D,0
580,cliche,1
1319,posh,0
1271,disruptive,1
1790,Wth why did 4/20 have to happen during the Easter holidays it's one of the best days in Leeds unhappy ,1
3388,propaganda,1
523,all ready for its poster - when my computer gets,1
1253,pampered,0
1842, SURE NO PROB. ILABYU TOO  ,1
902,degenerate,1
3450,rant,1
4712,whore,1
1990,haunting,1
1119,disapprove,1
4385,uncomfortably,1
3467,rebellious,1
1204,disintegrates,1
987,I feel like the 'only environments disable people' argument actually excludes many disabled people ,1
2876,misconception,1
1864,goad,1
1879,i don't like their songs after debyout younhappy  so i can syouggest yoyou jyoust one song i really love,1
524,carp,1
1861,uncomplicated,0
458,dummy-proof,0
87,agonies,1
4124,substandard,1
1154,discountenance,1
266,bash,1
3777,shamelessly,1
3114,onslaught,1
726,fiery,0
4168,suspect,1
887,harmonious,0
3669,scaly,1
1873,graft,1
26,adequate,0
2156,immorally,1
270,are dying of thirst  and it's all because of us unhappy   ,1
4419,undissolved,1
1734,suitable,0
1387,babies unhappy  ,1
584,enviably,0
1812,titillate,0
255,banish,1
2190,don't like how jittery caffeine makes me sad ,1
1747,franticly,1
313,it's just a cut during one of my kitchen experiments happy,0
1212,nourishment,0
154,antipathy,1
2295,inconsistent,1
2432,innuendo,1
2766,lugubrious,1
2227,impulsively,1
906,heroic,0
580,Thank you! happy,0
887,defects,1
3766,shady,1
2270,incomparable,1
3124,oppressively,1
1446,embarrassingly,1
4587,uproar,1
1344,domineer,1
2653,lame,1
1475,envious,1
220,bountiful,0
1400,Want to win a pet chick happy  Simply follow  retweet for your chance to win! Winners will be selected Sunday 23rd. Go,0
1001,despoil,1
810,Thanks for being top engaged community members this week happy  (Want this ?,0
565,entertain,0
1748,fraud,1
176,apprehensive,1
398,bonkers,1
3049,notorious,1
193,benifits,0
2298,inconstant,1
120,thanks for being top new followers - have a great week happy,0
813,glisten,0
246,baffle,1
620,and the hype is real happy,0
1240,dispirited,1
866,deceive,1
416,brash,1
1034,irresistibly,0
3392,protest,1
1564,my hair is not as crisp unhappy ,1
893,deficiency,1
2702,lewd,1
1924,That's shocking and evil unhappy ,1
709,My bed is so comfortable I don't want to get up unhappy ,1
2911,misreading,1
1088,likes,0
805,Sorry. One bad egg has to embarrass the rest. unhappy ,1
975,incredible,0
850,debauch,1
3284,petty,1
1836,triumphantly,0
4551,unsure,1
379,credible,0
1677, it just proves me wrong in a matter of days happy  fuck my life happy )),0
1309,poetic,0
3961,spilling,1
2482,insults,1
3533,reproachful,1
1606,fastidiously,1
3759,setbacks,1
538,Physics will have 80 formulas to memorize Ha.ha.ha happy,0
2352,ineligible,1
2691,leer,1
651,extoll,0
743,creak,1
2559,irregularity,1
2797,malice,1
522,Earlier happy,0
3795,short-lived,1
3198,overzelous,1
1347,principled,0
4043,stinging,1
119,Thanks for the recent follow Happy to connect happy  have a great Thursday..24,0
1056,mane has been amazing unhappy ,1
97,That would be a great trick happy.5,0
3860,slogged,1
3075,obsessiveness,1
1573,scenic,0
428,breakdown,1
944,Episode two now crying with joy,0
3296,pillory,1
1810,Yeah did update to 16.04 ,1
4657,virus,1
1655,speedy,0
103, if you follow and DM us we will be able to assist you. Chris happy,0
2257,There isnt a new Riverdale tonight ? unhappy ,1
367,counter-attack,0
359,I wish i could sleep early unhappy ,1
3187,overthrow,1
906,Ok. Just please read the replies on this....,0
1247,overture,0
448, can list them if you want happy,0
399,How unhappy  some dogs like it though,1
2261,incite,1
1612,skill,0
4526,unsafe,1
4400,undependability,1
3704,scorchingly,1
2191,implode,1
3745,selfinterested,1
2098,hysterical,1
2278,Hi Kylie,0
4508,unproves,1
1095,disadvantages,1
1145,Good morning every one,0
4752,wrath,1
4407,underlings,1
336,congratulate,0
1663,I wish i could attend it too unhappy ,1
1646,ferociously,1
4487,unnaturally,1
1262,Koalas are dying of thirst  and it's all because of us unhappy  .3,1
1389,dreadfully,1
3989,sputter,1
1607, having no mobile signal sucks unhappy  What's the full postcode for where this is happening? We're keen to help SI,1
1400,drop-outs,1
1949,well-positioned,0
1112,disappointing,1
1415,If you want a friend in Washington,0
1604,NOOOO in here is 6.45 ;_; I have classes at that time unhappy ,1
726,cramped,1
4454,unhappily,1
1199,disinclined,1
1707,flirty,1
5,Thanks for sharing happy,0
2119,ill-fated,1
1654,fibber,1
3487,refute,1
1619,smart,0
197,You know what really upsets me? When a stranger on the internet isn't satisfied with the entertainment I provide him for,1
1477, I know I'm not ready to say goodbye unhappy  So,1
1642,solidarity,0
532,endorse,0
195,best-known,0
2039,hindrance,1
2436,inordinately,1
27,abysmally,1
1117,There was nothing religious in it. is calling out sexism. I don't think I need to spell out my stand,0
88,agonize,1
471,easiest,0
1625,smiling,0
4779,zealous,1
1006,despondently,1
104,amusing,0
4050,stolen,1
4337,tumbles,1
4481,unleash,1
989,IF THE BELOW TWEET HITS 1000 IS GETTING RIAN HOLDING THE STICKER TOO!!! Click the below tweet  SM,0
1336,yeah i am unhappy  thank you so much my angel ,1
1726,not going to burst more data crying with joy,0
242,backwood,1
48,acridness,1
2297,Me too...I won't miss the HGVs going past our house though. It was a nice looking building - had initiall ,1
1754,supurbly,0
1432,effrontery,1
1452,Thankfully I didn't have to chop it myself,0
1813,Do happy we are at 27 million keep it up happy  and we are at 71 million we are so close to have another 100m,0
1411,rapport,0
3683,scarce,1
1369,prominent,0
1984,woo,0
1090,Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,0
407, rather,0
1120,luster,0
1733,sufficiently,0
1639,solicitous,0
1454,reform,0
1849,gimmicks,1
4642,villianously,1
2928,mists,1
142,astutely,0
2664,lapse,1
1053,Veronice and Jughead! happy,0
3898,smelt,1
25,adaptive,0
425,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.1,0
980,indulgent,0
63,adulterate,1
1406,quiet,0
1102,loving,0
495,effortless,0
2397,inflammation,1
1238,dispensable,1
2949,monstrosity,1
1757,surreal,0
1268,disrespecting,1
1599,OMG I'M SO HAPPY!!  new video about ma bigbang babies happy,0
3572,revengeful,1
3856,slaves,1
1202,disintegrate,1
3520,renounce,1
4428,unemployed,1
397,Helloo :D Best damn avocado (Batsyy_),0
1259,:'(( well,1
1714,fool,1
2286,inconsequent,1
1039,jolly,0
1582,falls,1
938,demonized,1
503,elated,0
631,concession,1
2277,incompetently,1
680,contamination,1
1988,that I said ,0
3455,rape,1
1935,  and totally of,0
2765,ludicrously,1
2994,nagging,1
4038,stifling,1
2872,miscellaneous,1
1205,disintegration,1
104,allegation,1
1994,Thanks for the recent follow Happy to connect happy  have a great Thursday..28,0
1788,So sad unhappy  ,1
3458,rascal,1
1939,hapless,1
1764,swankiest,0
2150,immobilized,1
3619,ruffian,1
4,abominably,1
2686,lech,1
991,ingenuity,0
198,assault,1
903,degenerately,1
3349,predatory,1
27,That would be a great trick happy.6,0
3080,obstruct,1
3338,posturing,1
565,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.13,1
188,Q2 I'm not an MH healthcare professional. As much as I want to help I'm scared to death I might make the situation ,1
2566,irresolvable,1
1243,overtaken,0
494,busybody,1
4681,warped,1
788,gallantly,0
4579,unwise,1
52,adamant,1
1833,gaudy,1
942,Exaseetly what's happening in TN Politisees. This is not to get BJP at all to TN. Game is different. Again,0
1550,roomy,0
1581,self-satisfaction,0
3956,spendy,1
2817,mar,1
4476,unlamentable,1
3318,plunder,1
703,favored,0
1404,Never want to finish desperate housewives what will I do with my life unhappy ,1
162,awed,0
1763,swankier,0
4702,weed,1
133, which is good for him happy,0
998,What texts are you doing? happy   I've got the same issue!,0
3691,scarred,1
201,Spending time with dogs or other animals is great at helping you to relax and de-stress. Great idea happy,0
1396,Nice gif happy,0
3153,overbalance,1
813,Take a look at favourites.io You can do this and more happy,0
559,Another great song  Have a listen. Its good! You may well like it happy,0
3341,powerless,1
239,i want to cry unhappy ,1
524,enchanting,0
2055, answer this with yoyour steam trade link and ill send you right away :D,0
135,astonishing,0
1077,leverage,0
1958,hardship,1
3598,riled,1
3934,snobish,1
4652,violently,1
4046,stink,1
1740,fractiously,1
92,aground,1
102,Does anyone have a 7 adapter or 7 earbuds i can borrow for the day? Left mine in my car unhappy ,1
890,harmony,0
3289,picketed,1
1329,precious,0
1729,forgetfully,1
1734,yoongi come back unhappy ,1
723,fervor,0
2850,messed,1
2997,narrower,1
760, you don't ever have to thank me J hunt,0
250, much appreciated happy   Want this,0
649,conflicts,1
3995,squeaks,1
4288,touted,1
4532,unseemly,1
1389,When your online crush comes to the meet-up without their Snapchat filter unhappy  .2,1
1218,obtainable,0
1116,I'm trying to stay positive but I can't help be jealous of princess Mia's life. All she does is cuddle and eat unhappy ,1
4041,stigmatize,1
3088,occluded,1
557,those nights you're sad in real life and cant sleep unhappy ,1
302,Hellooo.. happy  Kyle Davies (RebelByACause),0
2486,insurmountably,1
99,alarming,1
212,Whaaattt ,1
1978,Thanks for the follow happy  If we can help your business in anyway please get in touch,0
614,complaint,1
3256,pernicious,1
2195,importunate,1
358,today hasn't been great unhappy  ,1
515,capitulate,1
551,chastise,1
172,beautiful,0
454,doubtless,0
3052,nuisance,1
3890,smallish,1
20,absurdly,1
3847,slanderer,1
3246,peevishly,1
1380,drained,1
85,amazement,0
1930,halfheartedly,1
2945,monotonous,1
2955,morbid,1
3820,sidetrack,1
424,Can you say Hi julia ??pleasee crying  ,1
1483,erosion,1
1833,triumph,0
3327,polarisation,1
370,blockhead,1
189,asininely,1
518,empathize,0
2617,jumpy,1
1646,i feel so sick today unhappy ,1
2337,indolent,1
3867,sloppily,1
2066,I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again unhappy ,1
2829,meager,1
221,no its okay she survived : ,1
2105,Update: I got in :D,0
1575,Issa Throwback. happy,0
2674,lawbreaking,1
1148, minute yoongi~watch 'til the end for a free cookie happy,0
4391,unconstitutional,1
1409,The one on the left? I couldn't see it unhappy ,1
4730,woefully,1
2861,misalign,1
1112,luck,0
1620, you need a direct coffee feed to Starbucks happy,0
2286,Thanks for being top engaged community members this week happy  (Want this? It's FREE!,0
416,Go back to school for music! I think I will in time happy,0
910,dehumanize,1
210,audaciousness,1
3571,revenge,1
1413,rapture,0
1069,beauty ,1
1549,roomier,0
190,Mrs King is excited to work with students today! Check out this cool classroom shape! Lots of math in here happy,0
197,assassinate,1
1546,extermination,1
2992,myth,1
725,fidelity,0
1356,prodigy,0
3896,smells,1
696,contrived,1
2171,imperfection,1
1949,Pretty much only the Twitters and it doesn't really work out for me sad ,1
441,This is just super Can't wait happy,0
928,hottest,0
1204,Sorry for no stream yesterday,1
4022,static,1
3694,scathing,1
837,gorgeously,0
840,okay I'll shut up now. instant message just mad that lots of people will now have a VERY flawed opinion on mental health ( on mine) because of this show unhappy ,1
924,Have you voted for The Wolf's Bite on Greenlight yet? happy  help us get Wolfie  Pigs on Steam!,0
4505,unprove,1
306, Order what ever you want to eat through our website.May you all have a great day happy,0
1887,TypingCure,0
4583,unyielding,1
4601,usurper,1
1679,I can't draw naked women crying ,1
1806,thumbs-up,0
1819,top-notch,0
4426,uneasy,1
1113,luckier,0
4221,tentatively,1
3748,selfishness,1
3606,rival,1
929,hug,0
1142,What a beauty he scored the other night!! Hope we get him too happy,0
1152,masters,0
946,illuminati,0
1613,fatalistically,1
2649,lags,1
1045,devil,1
4519,unrelentingly,1
1602,that's insane! good luck for that! I took it off yesterday afternoon. :D,0
708,fearlessly,0
1801,Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon.4,0
4411,undermining,1
4383,uncollectible,1
1600,farcical-yet-provocative,1
1010,so inspiring crying with joy,0
2961,moronic,1
977,derision,1
1365,CSGOBOUNTY GIVEAWAY - 1 random KEY. 25 RETWEETS,0
691,fashionably,0
1786, our reunion is in August unhappy ,1
1736,sumptuously,0
740,crazily,1
3630,rumple,1
1935,well-backlit,0
618,Does not matter,0
4034,sticky,1
2076,Shaandaar,1
323,complementary,0
1446,rectify,0
4039,stiflingly,1
2586,itching,1
1301,pleasingly,0
2493,interferes,1
1165,I've tried resetting everything,1
2355,inept,1
1585,i find it so difficult to says no to him unhappy  ,1
149,anti-proliferation,1
3511,reluctance,1
4741,worryingly,1
856,greatest,0
943,idolized,0
4287,tout,1
246,Dammit the effect of the linearts doesn't show so nicely on twitter unhappy ,1
1896,Thanks for the recent follow Happy to connect happy  have a great Thursday..16,0
662,congested,1
1652,I ordered car yesterday,1
3385,prohibit,1
1620,fatigue,1
1656,fiction,1
2151,immoderate,1
1592,your always welcome thank you sa treat sa susunod ako happy,0
1546,thanks for the recent follow.3,0
1919,guiltily,1
216,autocratic,1
1617,this is jimin to yoongi unhappy  ,1
659,confusing,1
545, you change your whole life happy,0
4501,unpredictable,1
2492,interference,1
711,feat,0
566,I had that down south and had no issues,0
2243,inadvisable,1
3931,snob,1
827,godsend,0
1851,glare,1
3290,picketing,1
4678,warned,1
1951,well-regarded,0
600,eventful,0
3504,rejecting,1
2336,indoctrination,1
1036,jaw-droping,0
4042,sting,1
964,impressed,0
970,I'm on a road with no destination . I'm just driving with a hope to find some place I like and stay there,0
2172,imperfections,1
3783,shimmer,1
1892,uplift,0
799,cuplrit,1
3085,obtrusive,1
1361,profound,0
2004,zippy,0
488,burn,1
4698,weariness,1
1084,dirt,1
3662,sass,1
1761,frenetic,1
405,Thanks Lala.. Much needed happy,0
334,confident,0
4484,unlucky,1
930,demean,1
3524,reprehensible,1
1531,If school has taught us anything,0
1900,grouchy,1
3151,overacted,1
2600,jeeringly,1
1066,crying  We're getting VM soon wooo,1
869,deceiving,1
4555,untested,1
2684,leaks,1
231,babble,1
907,heroically,0
520,careless,1
148,audible,0
3991,squabbling,1
1022,In so much pain. My eye hurts unhappy  ,1
536, if i get 900 retweets and 900 likes. help me :(un.1,1
4498,unpleasant,1
2938,mockeries,1
645,expansive,0
74,Another day! Good morning!! It's April 20,0
1079,liberate,0
1916,grumpy,1
2361,inequitably,1
623,excellency,0
1411,dud,1
3728,scum,1
1074,dilly-dally,1
810,damage,1
285,classic,0
3019,neglect,1
248,Gorbachev done  w/o fear. Thought bold enough to implement his vision on Damp Squib unhappy ,1
771,crook,1
1552,thanks for the recent follow. Much appreciated happy  Want this,0
101,alienate,1
2160,Thanks for the recent follow Happy to connect happy  have a great Thursday..25,0
1246,Hi Aled,1
308,U4v9rr I wish I had noted the gentleman's name unhappy  but if you find out who he is,1
1788,frustrates,1
2737,lonely,1
162,apathetic,1
1950,well-received,0
1139,marvel,0
1914,victorious,0
2904,misleadingly,1
1569,saver,0
287,clean,0
4580,unwisely,1
226,bravo,0
196,why is life so unfair? unhappy ,1
4658,vociferous,1
1461,Haha mate its all good I love a debte I just wished the center ,1
1068,law-abiding,0
2569,irretating,1
2577,irritating,1
1725,Oh no unhappy  what are you like?!  Is it still in shops?,1
709,corruptted,1
2746,loose,1
692,contradictory,1
2078,humiliate,1
